ISO,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BGR,1.0,1.0,1.0,1.0,1.0,1.0,0.9696419314704791,0.9418566843732169,0.9155072467316145,0.8898011919027228,0.8648313393887636,0.8395722332994217,0.8152053130302267,0.7917758460335896,0.7695245837075205,0.7470453322259502,0.756047161053937,0.7636568544919315,0.7725365103579349,0.7821639635735236,0.7919399252383371,0.8036324305160173,0.8149463175987354,0.8243512597055268,0.8285926570799313,0.840294817415956,0.8607284822504265,0.8886087992401231,0.9214165586629184,0.9529555635597386,0.9803681572362182,1.002943643208725,1.035078179337095,1.0723216560679423,1.1144995165601732,1.16428112709335,1.2056515413015028,1.2428645390254445,1.27337461214019,1.3060890195227803,1.3433177734091646,1.3870600231203918,1.424983837559529,1.4628813204148299,1.5086890879477877,1.5586673136232636,1.6130769671109095,1.6666184336979923,1.6897448699289452,1.715744465337429,1.747354450794607,1.7839949678069214
BHR,1.0,1.0,1.0,1.0,1.0,1.0,1.0554383361478674,1.1216483759461067,1.1832416423490197,1.2391650218081673,1.2983707026775884,1.3797463460018418,1.4382326340420553,1.4980572724671386,1.563274606058912,1.6380920617802548,1.6656387280724474,1.7083518935283784,1.7917554227702428,1.8884257028055678,1.997533173354972,2.146884173686776,2.3250783293268733,2.5030057305406594,2.656850924911961,2.8045626963580834,2.940975768047387,3.0509342460697666,3.11573747451678,3.1519172928964743,3.1902455206365046,3.167881164379467,3.1373168129975664,3.1093502048942536,3.0952584375382157,3.0660368575644474,3.0290464125454712,2.9918695219026334,2.9653461528973573,2.955315482815019,2.9194447452352703,2.8791747802965952,2.84315694732569,2.808312184037983,2.7909956129641893,2.7943683284555503,2.814880826621369,2.8442947130625527,2.845575619973376,2.8528440627302625,2.8735780122930046,2.9056871435745975
BHS,1.0,1.0,1.0,1.0,1.0,1.0,1.1369645111035092,1.2739330471290546,1.4227568326107016,1.5579055621560038,1.7424044512019847,1.97625964369455,2.1947347178760728,2.389553619571367,2.550074856419111,2.6623608671873944,2.6349374426751853,2.6396950106379813,2.6304666991035677,2.6383501298074217,2.5765824156019628,2.467466451086806,2.3809484709249213,2.3244212880825526,2.3067066321144805,2.3368003784578213,2.385911538973285,2.425138312422961,2.488416571509799,2.552208158219414,2.635202074836103,2.713111413730533,2.7834049638062313,2.849555497157787,2.9126106872068034,2.9856031177854434,3.049399918641132,3.0980524215876075,3.128631604243332,3.172425312673239,3.2249630259928557,3.285706361526512,3.3610992746100683,3.4491728760876263,3.5608696632044863,3.693568886249222,3.8246634751418433,3.959656759485282,4.029115381994984,4.09448298550851,4.167605119471401,4.256552802040807
BIH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0649070823147624,1.1526765003282735,1.257076735129877,1.3713588243904904,1.4715125382090448,1.537854288270991,1.5638109273047593,1.5737922764236394,1.584235763597972,1.597014894237319,1.5503381431982937,1.4879225172410555,1.4143199638808808,1.3370437173830862,1.2750567202799759,1.2530533773222037,1.2725178957766994,1.3107776537949902,1.3532048410720487,1.4060131130809264,1.457827728570468,1.5073724922501233,1.5295275675652162,1.5494612100573448,1.5734317876149022,1.5951064070437635
BLR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.726391634514386,4.5422515593573465,6.602853558648002,8.873334452224718,11.475959708815619,14.375980225669148,17.1768275136804,19.6826505204868,21.996377560102182,24.230644334589208,24.611378370192682,24.800667720497596,24.64779964591552,24.170965383344075,23.195759769532128,21.811781128975046,20.436755689101993,19.299511283063605,18.295124544651657,17.445761436745677,16.707132937225758,16.092491340023162,15.64973046146065,15.238888480386642,14.948130202186224,14.746082108723186
BLZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0235288726060365,1.0526422079378248,1.0881874613175522,1.1354795389602008,1.1807200778066296,1.2346302617800602,1.2987921513194114,1.3647752113528342,1.4277925578835553,1.4949590249079645,1.5375242646193739,1.5783412061155626,1.6158963637874801,1.6462777410138745,1.6783173306331332,1.7011149189531227,1.7083468036816456,1.703711481003353,1.6993803310266338,1.684488340255178,1.66545634367803,1.6512880159882215,1.637034388576024,1.622129526515821,1.6105738187424854,1.6006119361189335,1.5993430622594125,1.6075737759676358,1.617093113699784,1.628611117203161,1.639047399038065,1.6429036813199591,1.6434853694856675,1.6309913651229522,1.6123419339632286,1.5926893203019623,1.5671615560283396,1.5446896796457974,1.5270499403338014,1.5166040009096362,1.5087206468616752,1.4968222037577157,1.4859930355028448,1.483898929383044,1.4857773628197244,1.4882514632753414
BMU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BOL,1.7061424744054154,1.6993444256024839,1.686757038904769,1.6672563537818534,1.6842198477465067,1.696699208079508,1.7109232701539987,1.7222056820596148,1.726020248171349,1.7292101614443034,1.7335593081950662,1.7362246884495582,1.7450638881171532,1.7623487600151964,1.7568782875409756,1.7597570310178419,1.761841450011265,1.768633824433954,1.790092598603048,1.8223659833578747,1.8530817669494108,1.8897945949979325,1.9322802774440546,1.970886364445633,1.9995634481094915,2.015509327099473,2.0206825241267863,2.0209453740636234,2.0175195224624036,2.005929154729757,1.990464982685986,1.9698957402417747,1.941989189127647,1.918972131999857,1.9046215060793508,1.9041317216495393,1.9108281882769371,1.9210264107212685,1.9278940957746333,1.9344307459302872,1.9401556318710056,1.9437765076035554,1.944009922331551,1.9407290449795624,1.9300684686075278,1.9129433368276587,1.8951977396490307,1.8807026687144823,1.8668210062666013,1.851913042993148,1.8398399693651581,1.8315378646757938
BRA,4.540257621186909,4.515441751687791,4.507455514811599,4.494703758215041,4.460920827328855,4.444549107980506,4.379666160766417,4.338684557396221,4.284485350313994,4.22769195856126,4.178202925272769,4.155758484625444,4.125617463371372,4.114685699497178,4.137224212620529,4.151456443120185,4.172934839176621,4.250025780622652,4.353696246154152,4.497413477235826,4.61657820946626,4.691915973146537,4.754522558562377,4.805867470228799,4.861870995095336,4.916084499809675,5.0107885444964895,5.070261639801705,5.130118558614827,5.148896408996494,5.168963694008008,5.2083655245086655,5.266460134084392,5.322181239896705,5.377349970954801,5.442569543275091,5.461817506383927,5.476576851872062,5.469169364558623,5.475808478676057,5.475780183271873,5.47257153276202,5.4548893319239316,5.4204273042639475,5.36099445619579,5.305208848529212,5.242159700668247,5.173817786185824,5.1337085778877345,5.081467663474352,5.042739915874579,5.002825329448714
BRB,3.335725559624552,3.352484759581149,3.3750127243855936,3.357489680108997,3.343300446437744,3.325475929240594,3.318944036492778,3.320269814699549,3.332191346574573,3.320845551178626,3.3420585826125864,3.4054198784497656,3.4732694018562222,3.5745180873918505,3.682727742424176,3.787556949781604,3.901914573945328,4.047374061542182,4.219773354573373,4.388548738094226,4.50646343979935,4.595618197692577,4.659544836219186,4.717299761660762,4.765998756572687,4.8238940971647235,4.906215828806898,4.985155134367313,5.062520864823577,5.131244381094539,5.199993418380972,5.270164101280502,5.341110369477375,5.402385472765553,5.466288190016294,5.551957907728708,5.610781640864102,5.665399560659123,5.68950906679453,5.716126069667591,5.763679124337527,5.804020983528194,5.8503148613168845,5.914317415090841,5.993793963227583,6.08506182155571,6.174326326250762,6.236891248342272,6.257358686181907,6.280359917878086,6.299734104630991,6.338595335807793
BRN,1.0,1.0,1.0,1.0,1.0,1.0,1.2787081931029323,1.515712339608833,1.7167515070145125,1.8885102694725249,2.027644047212091,2.1658829122482146,2.2659156232302577,2.346588785350041,2.4171080587661646,2.4589591483092694,2.2360305600272743,2.0979149249222693,1.9927535117878783,1.9207501715692512,1.885556846019486,1.8603140352425602,1.908791468115697,1.9823652149074005,2.0747646555878165,2.2000662670536366,2.318802996735758,2.3969605464421466,2.4793014638533815,2.5756385758121314,2.6720995705050408,2.761252102538517,2.8463993675588393,2.9472172556679235,3.0525391060820812,3.1474809883967785,3.223118977876765,3.2870282838932376,3.3446505525082615,3.3771471770917545,3.4065987288183535,3.436297424942404,3.4240138134609714,3.397919815826536,3.3758004845917204,3.375957749215201,3.387186362987548,3.4115277111377176,3.4174297453779663,3.433872015073177,3.453206590641762,3.4756622183875145
BTN,1.0,1.0,1.0,1.0,1.0,1.0,1.3861740265463884,1.783279875346917,2.1977283867904633,2.6274204582874847,3.0539616054896417,3.519897237309735,3.9621106041835126,4.387411172474524,4.80139308288874,5.216739259869499,5.242421642065374,5.2303801857360375,5.219304703990949,5.191920533196129,5.169179926427704,5.116623200832461,5.057361952971023,4.924919063691309,4.803185555724303,4.669230015508026,4.512645688864162,4.394289455947531,4.265483851208717,4.155867972231323,4.048722834900383,3.9315018671498683,3.844878099262646,3.8494908461900588,3.855410022226472,3.8748865069948346,3.9252308797920343,3.9776920638030346,4.0293121822316875,4.0761871272807655,4.141821106627516,4.212367558863669,4.28277340239383,4.298875536994985,4.322175665568207,4.347277513378424,4.366226396623743,4.385053360032283,4.398739796271095,4.3991235623376275,4.36715638202937,4.317175127850119
BWA,6.748813144825962,6.767984911829958,6.800299852388519,6.772407975620785,6.777402256675838,6.828946049698653,6.903304776950284,7.060430520380466,7.269086363633174,7.499207722582254,7.752652894908325,7.978974580433406,8.14943642321804,8.316510661874085,8.412630368099142,8.419447360700548,8.352195108258096,8.244431587620136,8.120583791648864,7.939819291044502,7.6759523043938405,7.396250554541131,7.15233306496838,6.936963016437671,6.74728391677616,6.527511598450332,6.352424174930857,6.195932561823565,6.061568510041085,5.99219843971292,5.992737045909946,6.00615545678388,6.02477428790368,6.054181318295742,6.147316717055025,6.302020351200026,6.453395906337978,6.6308470609019725,6.778593904810222,6.905483843273911,7.045453792559854,7.202836902770703,7.34816830512578,7.491470841618717,7.596111154266014,7.836868735344528,8.03470126098864,8.204919737182978,8.280054120118002,8.36109145511689,8.424827535394785,8.48928907222367
CAF,7.654748252531917,7.790590981909332,7.916874437892713,7.995751770911813,8.052219105989511,8.04882385372378,8.154091485747157,8.300709928678348,8.406006116041757,8.469247755416665,8.544000227664123,8.583061406945971,8.558933405339264,8.482873593215166,8.392017652743396,8.367606641855877,8.356081608777034,8.27814786387724,8.133308057929671,8.044783057994517,7.868655478868911,7.699978621004169,7.5595779259481,7.527122805238902,7.496840614324734,7.434077172946623,7.373038634606289,7.33506026770292,7.349778051959618,7.323799832488201,7.329039785308872,7.326599293729728,7.383870870630647,7.347199968804199,7.293238874029477,7.226866525139667,7.134418335023113,7.0404351405949175,6.933921355203331,6.866309659475554,6.80238934424966,6.745508290504327,6.617711750673225,6.52116980741002,6.448041066695479,6.393894057920432,6.330674913813217,6.259587455283032,6.233885449823073,6.148670513166804,6.071536326265412,5.986720315689195
CAN,0.8917896564508961,0.8878982438657639,0.884425176080844,0.8841511180889338,0.8835035389558725,0.8828880180404809,0.8819155580937901,0.8801041055486565,0.8793736876350214,0.8773239479663288,0.8775012829653754,0.8807023622147281,0.8840216945719964,0.8863645839623681,0.889325197131499,0.8928793789085997,0.8970939148547025,0.9019366564867515,0.9138509978817504,0.9278653941104515,0.9379722829573666,0.9440421769410566,0.9514552580893053,0.9575173388848025,0.9629236003833673,0.9693904766603267,0.977075574478533,0.9889403296445239,0.9961922861557356,1.002628596914703,1.0098383270532543,1.0179006873649983,1.0256038295856766,1.0321518001151442,1.0378283897892964,1.039428630217603,1.0354385723065556,1.027162049335066,1.016738315772076,1.0075781647224318,1.0003816950657534,0.9937558964808467,0.9871075579522351,0.9830997110602182,0.9823218353575225,0.9892702956400387,0.9981725078073049,1.0058449972836603,1.0097384603876558,1.0137061665999398,1.0191135187517733,1.0263796834539183
