ISO,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AZE,1300700,1311539,1322378,1333217,1344056,1354895,1365734,1376573,1387412,1398251,1409090,1420833,1432575,1444318,1456061,1467804,1479546,1491289,1503032,1514774,1526517,1539238,1551959,1564680,1577401,1590122,1602843,1615564,1628285,1641006,1653727,1667508,1681289,1695069,1708850,1722631,1736412,1750193,1763973,1777754,1791535,1806465,1821394,1836324,1851253,1866183,1881113,1896042,1910972,1925901,1940831,1957005,1973178,1989352,2005525,2021699,2037873,2054046,2070220,2086393,2102567,2120088,2137609,2155131,2172652,2190173,2207694,2225215,2242737,2260258,2277779,2296761,2315742,2334724,2353706,2372688,2391669,2410651,2429633,2448614,2467596,2488159,2508722,2529285,2549848,2570412,2590975,2611538,2632101,2652664,2673227,2695504,2717781,2740059,2762336,2784613,2806890,2829167,2851445,2873722,2895999,2995849,3095698,3195548,3295397,3395247,3495097,3594946,3694796,3794645,3894495,4022246,4149997,4277748,4405499,4533250,4661001,4788752,4916503,5044254,5172005,5270855,5369705,5468555,5567405,5666254,5765104,5863954,5962804,6061654,6160504,6265624,6370743,6475862,6580982,6686102,6792182,6898262,7004342,7110423,7216503,7332519,7450920,7567156,7675128,7770806,7852287,7921789,7984531,8047997,8117742,8195648,8280599,8371536,8466304,8563398,8662137,8763359,8868713,8980488,9099893,9227512,9361477,9497496,9629779,
BDI,1006928,1009829,1012729,1015630,1018531,1021432,1024332,1027233,1030134,1033034,1035935,1039261,1042588,1045914,1049241,1052567,1055893,1059220,1062546,1065873,1069199,1073077,1076955,1080833,1084711,1088588,1092466,1096344,1100222,1104100,1107978,1112595,1117211,1121828,1126444,1131061,1135678,1140294,1144911,1149527,1154144,1159794,1165443,1171093,1176742,1182392,1188042,1193691,1199341,1204990,1210640,1217822,1225004,1232185,1239367,1246549,1253731,1260913,1268094,1275276,1282458,1292111,1301764,1311417,1321070,1330722,1340375,1350028,1359681,1369334,1378987,1393182,1407378,1421574,1435769,1449964,1464160,1478356,1492551,1506746,1520942,1545702,1570461,1595220,1619980,1644740,1669499,1694258,1719018,1743778,1768537,1837314,1906090,1974866,2043643,2112420,2181196,2249972,2318749,2387526,2456302,2504722,2553141,2601561,2649981,2698400,2711441,2724482,2737523,2750563,2763604,2840903,2907418,2953105,3031995,3112316,3193746,3269702,3338204,3396480,3457113,3507593,3547335,3582952,3623853,3676991,3744696,3825484,3917866,4018927,4126544,4239673,4359122,4486613,4624617,4774258,4936429,5108581,5284173,5454475,5613141,5759429,5895131,6019901,6134041,6239030,6333415,6420397,6511920,6623707,6767073,6946720,7159918,7401215,7661613,7934213,8218070,8514578,8821795,9137786,9461117,9790151,10124572,10465959,10816860,
BEL,4383300,4414773,4446246,4477718,4509191,4540664,4572137,4603610,4635082,4666555,4698028,4727860,4757691,4787523,4817354,4847186,4877018,4906849,4936681,4966512,4996344,5048720,5101095,5153470,5205846,5258222,5310597,5362972,5415348,5467724,5520099,5575009,5629920,5684830,5739740,5794650,5849561,5904471,5959381,6014292,6069202,6131662,6194122,6256582,6319042,6381502,6443962,6506422,6568882,6631342,6693802,6766792,6839781,6912771,6985761,7058750,7131740,7204730,7277720,7350709,7423699,7427908,7432116,7436325,7440533,7444742,7448951,7453159,7457368,7461576,7465785,7528407,7591029,7653651,7716273,7778895,7841517,7904139,7966761,8029383,8092005,8116722,8141439,8166155,8190872,8215589,8240306,8265023,8289739,8314456,8339173,8368104,8397035,8425966,8454897,8483828,8519691,8555554,8591416,8627279,8663141,8702266,8754428,8802027,8843648,8892878,8948401,9013846,9077617,9128779,9143791,9191021,9243766,9308644,9392774,9474098,9533962,9582797,9616188,9639151,9664320,9692900,9715673,9734412,9751592,9769006,9787576,9806885,9825779,9842453,9855747,9865512,9872709,9878636,9885088,9893499,9903895,9916261,9931873,9952253,9978241,10011217,10050405,10091889,10130251,10161914,10185077,10201758,10216867,10237402,10268380,10311331,10364613,10426169,10492643,10561436,10632032,10704830,10779155,10854388,10929978,11005175,11079521,11153122,11226322,
BEN,953302,947344,941385,935427,929469,923511,917552,911594,905636,899678,893719,895543,897367,899191,901015,902839,904663,906487,908311,910135,911959,913820,915682,917543,919404,921265,923126,924987,926848,928709,930570,932469,934368,936268,938167,940066,941965,943864,945763,947662,949561,951499,953437,955375,957313,959251,961189,963127,965065,967003,968940,970918,972895,974873,976850,978828,980805,982783,984760,986737,988715,1008489,1028264,1048038,1067812,1087586,1107361,1127135,1146909,1166684,1186458,1210187,1233916,1257645,1281374,1305104,1328833,1352562,1376291,1400020,1423749,1452224,1480699,1509174,1537649,1566124,1594599,1623074,1651549,1680024,1708499,1742669,1776839,1811009,1845179,1879349,1913519,1947689,1981859,2016029,2050199,2072097,2093994,2115892,2137790,2156454,2175119,2193784,2212448,2231113,2280970,2332873,2388424,2444896,2503705,2564699,2628228,2694138,2762534,2833797,2907769,2971941,3039300,3110074,3184547,3262959,3345501,3432262,3523270,3618509,3718024,3822206,3931355,4045352,4163968,4287263,4414450,4546136,4685375,4836240,5001271,5182525,5378226,5582420,5786794,5985658,6176318,6361301,6546493,6740491,6949366,7174911,7414744,7665681,7922796,8182362,8443717,8707637,8973525,9240982,9509798,9779391,10049792,10322232,10598482,
BFA,2053020,2057638,2062256,2066874,2071492,2076110,2080729,2085347,2089965,2094583,2099201,2104461,2109721,2114981,2120241,2125502,2130762,2136022,2141282,2146542,2151802,2157887,2163972,2170058,2176143,2182228,2188313,2194398,2200484,2206569,2212654,2219833,2227013,2234192,2241372,2248551,2255730,2262910,2270089,2277269,2284448,2293143,2301837,2310532,2319227,2327922,2336616,2345311,2354006,2362700,2371395,2382310,2393224,2404139,2415054,2425968,2436883,2447798,2458713,2469627,2480542,2494979,2509417,2523854,2538292,2552729,2567166,2581604,2596041,2610479,2624916,2645688,2666461,2687234,2708006,2728778,2749551,2770324,2791096,2811868,2832641,2867651,2902660,2937670,2972680,3007690,3042699,3077709,3112719,3147728,3182738,3272508,3362278,3452049,3541819,3631589,3721359,3811129,3900900,3990670,4080440,4144463,4208487,4272510,4336534,4490364,4644194,4798024,4951855,5105685,5160123,5186520,5217215,5252278,5291799,5335870,5384604,5438118,5496549,5560042,5624597,5723379,5825171,5930487,6040044,6154548,6274037,6398937,6530820,6671659,6822840,6985158,7158256,7340907,7531244,7727912,7930690,8140076,8356306,8579825,8811033,9050090,9297116,9552473,9816586,10089876,10372809,10665781,10969093,11283016,11607944,11943740,12290984,12651596,13028039,13421929,13834195,14264002,14709011,15165856,15632066,16106851,16590813,17084554,17589198,
BGD,22101450,22177657,22253865,22330072,22406280,22482487,22558694,22634902,22711109,22787317,22863524,22962932,23062340,23161748,23261156,23360564,23459972,23559380,23658788,23758196,23857604,23961333,24065062,24168792,24272521,24376250,24479979,24583708,24687438,24791167,24894896,25108382,25321868,25535354,25748840,25962326,26175812,26389298,26602784,26816270,27029756,27243243,27456730,27670216,27883703,28097190,28310677,28524164,28737650,28951137,29164624,29378107,29591590,29805074,30018557,30232040,30445523,30659006,30872490,31085973,31299456,31512938,31726421,31939903,32153386,32366868,32580350,32793833,33007315,33220798,33434280,33772960,34111639,34450319,34788998,35127678,35466358,35805037,36143717,36482396,36821076,37159751,37498426,37837100,38175775,38514450,38853125,39191800,39530474,39869149,40207824,40546500,40885176,41223852,41562528,41901204,42239880,42578556,42917232,43255908,43594584,44648944,45703305,46757665,47812026,48578979,49345933,50112886,50879839,51646793,52741864,53820260,54877490,56213470,57346210,58240521,59411220,60637557,61899816,63199035,65048701,66417450,67578486,68658472,69837960,71247153,72930206,74848466,76948378,79141947,81364176,83599582,85868228,88181211,90559540,93015182,95550798,98149262,100779551,103400571,105983136,108509679,110987459,113442354,115913710,118427768,120987124,123574107,126169583,128746273,131280739,133776064,136228456,138600174,140843786,142929979,144839238,146592687,148252473,149905836,151616777,153405612,155257387,157157394,159077513,
BGR,2464866,2469166,2473467,2477767,2482068,2486368,2490668,2494969,2499269,2503570,2507870,2512175,2516480,2520786,2525091,2529396,2533701,2538006,2542312,2546617,2550922,2593173,2635425,2677676,2719928,2762179,2804430,2846682,2888933,2931185,2973436,3017188,3060940,3104692,3148444,3192196,3235948,3279700,3323452,3367204,3410956,3395024,3379092,3363161,3347229,3331297,3315365,3299433,3283502,3267570,3251638,3306672,3361706,3416740,3471774,3526808,3581842,3636876,3691910,3746944,3801978,3850527,3899077,3947626,3996176,4044725,4093274,4141824,4190373,4238923,4287472,4378601,4469730,4560858,4651987,4743116,4834245,4925374,5016502,5107631,5198760,5333879,5468997,5604116,5739234,5874353,6009472,6144590,6279709,6414827,6549946,6620052,6690157,6760263,6830368,6900474,6970580,7040685,7110791,7180896,7251002,7312602,7374203,7435804,7497404,7559004,7620605,7682206,7743806,7805406,7867007,7929263,7991519,8053776,8116032,8178288,8241583,8304879,8368174,8431470,8494765,8546810,8596962,8644419,8688112,8727332,8761231,8790072,8815565,8840131,8865235,8891245,8916713,8939007,8954518,8960387,8956741,8943721,8918660,8878348,8821111,8745408,8653527,8552429,8451626,8358116,8274662,8199923,8131743,8066219,8000510,7934389,7869124,7805041,7742740,7682614,7624611,7568378,7513646,7460057,7407297,7355231,7303741,7252539,7201308,
BHR,55831,56117,56404,56690,56976,57263,57549,57835,58122,58408,58694,59003,59312,59621,59930,60239,60548,60857,61165,61474,61783,62108,62434,62759,63084,63409,63734,64060,64385,64710,65035,65377,65720,66062,66404,66747,67089,67431,67773,68116,68458,68818,69179,69539,69899,70259,70620,70980,71340,71701,72061,72440,72820,73199,73578,73957,74337,74716,75095,75474,75854,76697,77539,78382,79225,80068,80911,81753,82596,83439,84282,85218,86155,87091,88028,88964,89901,90837,91774,92710,93647,94687,95728,96768,97809,98849,99890,100930,101971,103011,104052,105208,106364,107520,108676,109832,110988,112145,113301,114457,115613,119663,123713,127763,131813,135862,139912,143962,148012,152062,156112,161689,167265,172842,178418,183995,189816,195638,201459,207281,213102,220808,229588,239860,252139,266686,283843,303236,323511,342829,359902,374125,385950,396447,407223,419425,433487,448994,465235,481126,495944,509654,522748,535692,549151,563730,579855,597834,618054,640904,666855,694893,725365,761595,807989,867014,940808,1026568,1115777,1196774,1261319,1306014,1333577,1349427,1361930,
BHS,16079,16133,16187,16240,16294,16347,16401,16455,16508,16562,16615,16853,17090,17327,17565,17802,18040,18277,18514,18752,18989,19260,19532,19803,20074,20345,20617,20888,21159,21430,21702,22012,22322,22632,22942,23252,23562,23872,24182,24492,24802,25156,25511,25865,26219,26574,26928,27282,27637,27991,28345,28750,29155,29560,29965,30370,30775,31180,31585,31990,32394,33204,34014,34824,35634,36444,37254,38063,38873,39683,40493,41505,42518,43530,44542,45555,46567,47579,48592,49604,50616,51882,53147,54413,55678,56943,58209,59474,60740,62005,63270,64852,66434,68016,69597,71179,72761,74343,75924,77506,79088,82144,85199,88255,91310,94366,97422,100477,103533,106588,109644,115616,121589,127561,133533,139506,145476,151446,157416,163386,169356,173867,177844,181489,185097,188882,192905,197118,201511,206038,210660,215404,220275,225185,230016,234684,239132,243391,247576,251855,256338,261117,266133,271165,275903,280151,283792,286968,290054,293572,297891,303138,309170,315757,322539,329243,335801,342259,348587,354780,360830,366711,372388,377841,383054,
BIH,880359,885695,891030,896366,901701,907037,912373,917708,923044,928379,933715,943809,953903,963997,974091,984185,994280,1004374,1014468,1024562,1034656,1045842,1057027,1068212,1079398,1090584,1101769,1112954,1124140,1135326,1146511,1158906,1171301,1183696,1196091,1208486,1220880,1233275,1245670,1258065,1270460,1284195,1297929,1311664,1325399,1339134,1352868,1366603,1380338,1394072,1407807,1423026,1438246,1453466,1468685,1483904,1499124,1514344,1529563,1544782,1560002,1582288,1604573,1626859,1649144,1671430,1693716,1716001,1738287,1760572,1782858,1808327,1833797,1859266,1884735,1910204,1935674,1961143,1986612,2012082,2037551,2066659,2095767,2124876,2153984,2183092,2212200,2241308,2270417,2299525,2328633,2361899,2395165,2428430,2461696,2494962,2528228,2561494,2594759,2628025,2661291,2713164,2765037,2816910,2868783,2920656,2972529,3024402,3076275,3128148,3180021,3218458,3256894,3295331,3333768,3372204,3410641,3449078,3487515,3525951,3564388,3599303,3634218,3669133,3704048,3738963,3773878,3808793,3843708,3878623,3913538,3953004,3992469,4031935,4071400,4110866,4194092,4277318,4360544,4443770,4526996,4437898,4301169,4141167,3992256,3879278,3810649,3779354,3775898,3784389,3792878,3799747,3808347,3817313,3825872,3833377,3838504,3840418,3839749,3837732,3835258,3832310,3828419,3823533,3817554,
