ISO,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DOM,210705,212210,213715,215220,216725,218230,219735,221240,222746,224251,225756,232810,239865,246920,253975,261030,268085,275140,282195,289249,296304,305564,314823,324083,333342,342602,351861,361121,370380,379640,388899,401316,413733,426150,438568,450985,463402,475819,488236,500653,513070,529021,544971,560921,576872,592822,608772,624723,640673,656624,672574,690240,707906,725572,743238,760904,778570,796236,813902,831568,849234,876011,902787,929564,956340,983117,1009894,1036670,1063447,1090223,1117000,1154030,1191059,1228089,1265118,1302148,1339178,1376207,1413237,1450266,1487296,1516959,1546621,1576284,1605947,1635610,1665272,1694935,1724598,1754260,1783923,1848238,1912553,1976869,2041184,2105499,2169814,2228467,2287120,2345773,2404426,2463079,2536612,2615595,2699297,2786992,2879163,2976299,3077669,3182545,3290203,3401253,3516181,3634068,3753992,3875032,3997736,4122717,4249155,4376228,4503114,4631114,4759935,4889437,5019471,5149934,5280727,5411867,5543520,5675930,5809271,5943591,6078816,6214857,6351572,6488857,6626544,6764623,6903314,7042940,7183646,7325622,7468551,7611463,7753052,7892420,8029114,8163474,8296375,8429116,8562623,8697127,8832286,8967759,9102997,9237565,9371333,9504336,9636491,9767737,9897983,10027140,10155036,10281408,10405943,
DZA,4088380,4135028,4181676,4228324,4274972,4321620,4368267,4414915,4461563,4508211,4554859,4601504,4648148,4694792,4741437,4788082,4834726,4881370,4928015,4974660,5021304,5067950,5114595,5161241,5207887,5254532,5301178,5347824,5394470,5441115,5487761,5534407,5581053,5627698,5674344,5720990,5767636,5814282,5860927,5907573,5954219,6000868,6047518,6094167,6140816,6187466,6234115,6280764,6327413,6374063,6420712,6467356,6514000,6560645,6607289,6653933,6700577,6747221,6793866,6840510,6887154,6933797,6980440,7027083,7073726,7120368,7167011,7213654,7260297,7306940,7353583,7400233,7446883,7493533,7540183,7586834,7633484,7680134,7726784,7773434,7820084,7866728,7913372,7960017,8006661,8053305,8099949,8146593,8193238,8239882,8286526,8333178,8379829,8426480,8473132,8519784,8566435,8613086,8659738,8706390,8753041,8957738,9162435,9367132,9571829,9776526,10099893,10423261,10746629,11069996,11393364,11615137,11489085,11773081,12128146,12493920,12886655,13326711,13729596,14128585,14550033,14960111,15377095,15804428,16247113,16709098,17190236,17690184,18212331,18760761,19337723,19943667,20575701,21228288,21893857,22565908,23241276,23917889,24591493,25257671,25912364,26554277,27180921,27785977,28362015,28904300,29411839,29887717,30336880,30766551,31183658,31590320,31990387,32394886,32817225,33267887,33749328,34261971,34811059,35401790,36036159,36717132,37439427,38186135,38934334,
ECU,816001,825851,835701,845551,855401,865251,875101,884951,894801,904651,914502,924351,934201,944051,953900,963750,973600,983450,993300,1003149,1012999,1027401,1041804,1056206,1070609,1085011,1099413,1113816,1128218,1142621,1157023,1168593,1180163,1191734,1203304,1214874,1226444,1238014,1249585,1261155,1272725,1285453,1298180,1310908,1323635,1336363,1349091,1361818,1374546,1387273,1400001,1421701,1443401,1465100,1486800,1508500,1530200,1551900,1573599,1595299,1616999,1634299,1651599,1668900,1686200,1703500,1720800,1738100,1755401,1772701,1790001,1805401,1820801,1836201,1851601,1867001,1882401,1897801,1913201,1928601,1944001,2040334,2136666,2232999,2329332,2425664,2521997,2618330,2714663,2810995,2907328,2969885,3032442,3094998,3157555,3220112,3265122,3310132,3355142,3400152,3445163,3535691,3628385,3724329,3824186,3928620,4037191,4149453,4266072,4387715,4515048,4648211,4786762,4930489,5079178,5232619,5390954,5554325,5722517,5895320,6072520,6248831,6428707,6611916,6798205,6987393,7179399,7374235,7571953,7772652,7976449,8183194,8392935,8606214,8823746,9045977,9272905,9504132,9739179,9977380,10218085,10460988,10705670,10951200,11196476,11440576,11683480,11924991,12163887,12398691,12628596,12852753,13072056,13289600,13509645,13735232,13967490,14205479,14447600,14691310,14934692,15177280,15419493,15661312,15902916,
EGY,5499989,5439822,5379654,5319487,5259319,5199152,5138985,5078817,5018650,4958482,4898315,4968291,5038268,5108244,5178220,5248196,5318173,5388149,5458125,5528102,5598078,5678050,5758023,5837995,5917967,5997940,6077912,6157884,6237856,6317829,6397801,6647316,6896830,7146345,7395859,7645374,7894889,8144403,8393918,8643432,8892947,9083107,9273267,9463428,9653588,9843748,10033908,10224068,10414229,10604389,10794549,10949356,11104162,11258968,11413775,11568582,11723388,11878194,12033001,12187808,12342614,12501638,12660663,12819687,12978712,13137736,13296760,13455785,13614809,13773834,13932858,14096515,14260172,14423828,14587485,14751142,14914799,15078456,15242112,15405769,15569426,15798651,16027877,16257102,16486328,16715553,16944778,17174004,17403229,17632455,17861680,18226912,18592143,18957375,19322606,19687838,20145704,20603569,21061435,21519301,21977167,22502553,23040498,23591305,24155280,24732737,25323997,25929392,26549261,27183948,27833805,28534925,29209291,29880451,30619052,31378050,32125804,32846161,33526995,34178465,34808599,35561087,36302154,37046807,37815578,38624410,39478585,40377668,41324806,42321740,43369552,44465918,45610430,46807221,48061546,49373806,50748187,52173840,53617678,55035937,56397273,57689828,58922018,60108373,61272847,62434527,63595629,64754566,65922626,67112877,68334905,69599945,70908710,72247626,73596068,74942115,76274285,77605327,78976122,80442443,82040994,83787634,85660902,87613909,89579670,
ERI,222298,223410,224521,225633,226744,227856,228967,230079,231190,232302,233413,234717,236021,237325,238629,239933,241237,242541,243845,245149,246453,248013,249573,251133,252692,254252,255812,257372,258932,260491,262051,263964,265877,267790,269702,271615,273528,275441,277353,279266,281179,283603,286027,288451,290875,293299,295723,298147,300571,302995,305418,308633,311848,315063,318278,321493,324708,327923,331138,334353,337568,342130,346691,351253,355815,360377,364938,369500,374062,378624,383185,390415,397645,404875,412105,419335,426565,433795,441025,448255,455484,469718,483952,498186,512420,526654,540888,555122,569355,583589,597823,652171,706518,760866,815213,869561,923908,978256,1032603,1086951,1141298,1169528,1197758,1225989,1254219,1282449,1307485,1332522,1357558,1382595,1407631,1441297,1476321,1512671,1550297,1589187,1629333,1670821,1713846,1758668,1805480,1854395,1905406,1958444,2013382,2070145,2128597,2188806,2251129,2316054,2383858,2453689,2525005,2598626,2675717,2756493,2843141,2933871,3020278,3091083,3139083,3160644,3160617,3150811,3147871,3164095,3202598,3260612,3337227,3429656,3535156,3655006,3788532,3928408,4064958,4191273,4304440,4406299,4500638,4593549,4689664,4789568,,,,
ESP,14216002,14360999,14505996,14650993,14795990,14940987,15085984,15230981,15375978,15520975,15665972,15750034,15834096,15918158,16002220,16086282,16170343,16254405,16338467,16422529,16506591,16594770,16682950,16771130,16859309,16947488,17035668,17123848,17212027,17300206,17388386,17468874,17549361,17629849,17710336,17790824,17871312,17951799,18032287,18112774,18193262,18233337,18273412,18313488,18353563,18393638,18433713,18473788,18513864,18553939,18594014,18727116,18860217,18993319,19126420,19259522,19392624,19525725,19658827,19791928,19925030,20063126,20201222,20339318,20477414,20615510,20753606,20891702,21029798,21167894,21305990,21531987,21757984,21983982,22209979,22435976,22661973,22887970,23113968,23339965,23565962,23797267,24028572,24259876,24491181,24722486,24953791,25185096,25416400,25647705,25879010,26091987,26304964,26517942,26730919,26943896,27175457,27407017,27638578,27870138,28101699,28337070,28589277,28843887,29100526,29359213,29619970,29882804,30147744,30414801,30683482,30946551,31201068,31473217,31784674,32128797,32496770,32895617,33285180,33612417,33923240,34305591,34701025,35104633,35509391,35909042,36302392,36687352,37055640,37397232,37704867,37976189,38212556,38415495,38588238,38734330,38854360,38950965,39032625,39110106,39192055,39287043,39397403,39518427,39641740,39764267,39878881,39996221,40151723,40392585,40749800,41230518,41815486,42475265,43167276,43854761,44537926,45209538,45817016,46295191,46601492,46708366,46637082,46455163,46259716,
EST,644945,654158,663372,672585,681798,691012,700225,709439,718652,727866,737079,740028,742976,745924,748873,751821,754769,757718,760666,763614,766562,769629,772695,775761,778827,781894,784960,788026,791092,794159,797225,800414,803603,806792,809981,813170,816359,819547,822736,825925,829114,832431,835747,839063,842380,845696,849013,852329,855645,858962,862278,865727,869176,872626,876075,879524,882973,886422,889871,893320,896769,901489,906209,910929,915649,920369,925089,929809,934529,939249,943969,948937,953905,958873,963841,968809,973777,978746,983714,988682,993650,998880,1004110,1009340,1014570,1019799,1025029,1030259,1035489,1040719,1045949,1051454,1056959,1062464,1067969,1073474,1078978,1084483,1089988,1095493,1100998,1102290,1103583,1104875,1106167,1107460,1108752,1110044,1111336,1112629,1113921,1115157,1116392,1117628,1118863,1120099,1121335,1122570,1123806,1125041,1126277,1127453,1128629,1129805,1130981,1132158,1133334,1134510,1135686,1136862,1138038,1139158,1140279,1141400,1142520,1143640,1227976,1312312,1396648,1480984,1565320,1548287,1520879,1488120,1457145,1433076,1417786,1409718,1406388,1403821,1399145,1391754,1382735,1372890,1363549,1355662,1349369,1344233,1339941,1336013,1332089,1328068,1324040,1320050,1316203,
ETH,6539404,6658349,6777294,6896238,7015183,7134128,7253073,7372018,7490962,7609907,7728852,7847799,7966745,8085692,8204638,8323585,8442532,8561478,8680425,8799371,8918318,9037262,9156206,9275150,9394094,9513038,9631982,9750926,9869870,9988814,10107758,10226704,10345649,10464595,10583540,10702486,10821432,10940377,11059323,11178268,11297214,11416151,11535088,11654025,11772962,11891900,12010837,12129774,12248711,12367648,12486585,12605532,12724480,12843427,12962374,13081322,13200269,13319216,13438163,13557111,13676058,13795004,13913950,14032896,14151842,14270788,14389734,14508680,14627626,14746572,14865518,14984465,15103412,15222359,15341306,15460254,15579201,15698148,15817095,15936042,16054989,16173925,16292860,16411796,16530732,16649668,16768603,16887539,17006475,17125410,17244346,17363293,17482240,17601188,17720135,17839082,18161929,18484776,18807623,19130471,19453318,19778121,20115158,20464869,20827711,21204164,21594737,21999952,22420360,22855082,23304638,23767648,24246420,24742341,25255974,25784301,26331539,26864285,27434118,27926873,28414999,29246170,30135007,31028728,31855294,32568539,33144537,33614153,34053431,34569428,35239974,36093319,37109517,38259376,39493503,40775997,42097111,43470219,44908705,46433604,48057094,49784987,51602776,53477944,55366517,57237226,59076414,60893264,62707547,64550161,66443603,68393128,70391170,72432290,74506974,76608431,78735675,80891968,83079608,85302099,87561814,89858696,92191211,94558374,96958732,
FIN,1641681,1650954,1660228,1669501,1678774,1688048,1697321,1706594,1715867,1725141,1734414,1747358,1760301,1773244,1786188,1799132,1812075,1825018,1837962,1850906,1863849,1880546,1897244,1913941,1930638,1947336,1964033,1980730,1997427,2014125,2030822,2062051,2093279,2124508,2155737,2186966,2218194,2249423,2280652,2311880,2343109,2376212,2409315,2442418,2475521,2508624,2541726,2574829,2607932,2641035,2674138,2713922,2753706,2793491,2833275,2873059,2912843,2952627,2992412,3032196,3071980,3100535,3129090,3157646,3186201,3214756,3243311,3271866,3300422,3328977,3357532,3385461,3413390,3441318,3469247,3497176,3525105,3553034,3580962,3608891,3636820,3642686,3648551,3654417,3660282,3666148,3672014,3677879,3683745,3689610,3695476,3726829,3758182,3789535,3820888,3852242,3883649,3915056,3946463,3977870,4009277,4047680,4090884,4139789,4187294,4235298,4282103,4324406,4360210,4395113,4430016,4461423,4491865,4523734,4548971,4564161,4581300,4606177,4626904,4624220,4606740,4623389,4644847,4668813,4691818,4711459,4726803,4738949,4749940,4762758,4779454,4800899,4826135,4853196,4879222,4902219,4921293,4937259,4951886,4967776,4986705,5009381,5034898,5061465,5086499,5108176,5126021,5140755,5153229,5164780,5176482,5188446,5200632,5213800,5228842,5246368,5266600,5289333,5314170,5340485,5367693,5395816,5424644,5453061,5479660,
FJI,137148,137910,138672,139433,140195,140957,141719,142481,143243,144005,144767,145266,145765,146265,146764,147263,147762,148261,148761,149260,149759,150275,150792,151308,151825,152341,152857,153374,153890,154407,154923,155692,156462,157231,158000,158769,159538,160308,161077,161846,162615,163385,164154,164923,165692,166462,167231,168000,168769,169538,170308,171077,171846,172615,173385,174154,174923,175692,176462,177231,178000,178769,179538,180308,181077,181846,182615,183385,184154,184923,185692,186462,187231,188000,188769,189538,190308,191077,191846,192615,193384,197982,202580,207177,211775,216372,220970,225567,230165,234762,239360,243674,247988,252302,256616,260930,265244,269558,273872,278186,282500,292948,303397,313846,324294,334743,346393,358043,369693,381343,392992,406991,421488,436060,450240,463025,473571,484562,494552,505543,520529,531601,542811,554109,565386,576592,587523,598258,609348,621541,635256,650957,668196,685389,700366,711663,718548,721725,722918,724624,728626,735469,744534,755024,765666,775498,784479,792859,800314,806494,811223,814215,815691,816626,818355,821820,827390,834729,843206,851854,859952,867327,874158,880487,886450,
FRA,36155768,36238300,36320833,36403365,36485898,36568430,36650962,36733495,36816027,36898560,36981092,37042971,37104850,37166730,37228609,37290488,37352367,37414246,37476126,37538005,37599884,37723786,37847689,37971591,38095494,38219396,38343298,38467201,38591103,38715006,38838908,38932543,39026178,39119814,39213449,39307084,39400719,39494354,39587990,39681625,39775260,39850462,39925663,40000865,40076066,40151268,40226470,40301671,40376873,40452074,40527276,40603464,40679653,40755841,40832030,40908218,40984406,41060595,41136783,41212972,41289160,41092787,40896414,40700042,40503669,40307296,40110923,39914550,39718178,39521805,39325432,39542826,39760219,39977613,40195006,40412400,40629794,40847187,41064581,41281974,41499368,41472540,41445712,41418884,41392056,41365228,41338400,41311572,41284744,41257916,41231088,41293175,41355262,41417350,41479437,41541524,41749818,41958111,42166405,42374698,42582992,42927682,43249897,43561834,43888881,44285772,44725915,45221602,45723925,46199488,46655544,47200390,48162532,48873939,49432749,49878313,50332154,50728200,51112796,51549329,51998130,52441905,52919033,53399306,53838682,54207090,54494304,54715569,54897276,55077848,55285646,55527915,55797684,56091787,56402568,56723582,57056509,57402141,57751544,58092992,58418028,58724885,59015910,59292228,59556460,59811881,60055803,60290831,60531978,60799015,61105231,61456854,61847608,62262671,62680418,63084614,63470828,63842097,64198684,64542997,64876959,65199104,65508241,65807241,66100168,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44539,45956,47387,48875,50483,52238,54201,56324,58404,60167,61433,62107,62298,62289,62477,63146,64386,66110,68221,70550,72967,75462,78057,80678,83242,85689,87948,90024,92020,94091,96331,98800,101412,103937,106057,107556,108342,108506,108236,107808,107430,107170,106983,106816,106575,106198,105680,105080,104472,103961,103619,103476,103516,103718,104044,104460
GAB,235971,236502,237033,237564,238095,238625,239156,239687,240218,240749,241280,241884,242489,243093,243698,244302,244907,245512,246116,246721,247326,248025,248724,249423,250123,250822,251521,252221,252920,253619,254319,255144,255969,256795,257620,258445,259270,260096,260921,261746,262572,263571,264570,265570,266569,267568,268568,269567,270567,271566,272565,273820,275074,276329,277583,278838,280092,281347,282601,283856,285110,286770,288429,290088,291748,293407,295066,296726,298385,300045,301704,304091,306479,308867,311254,313642,316029,318417,320805,323192,325580,329604,333628,337652,341676,345700,349724,353748,357772,361796,365820,376138,386456,396774,407092,417410,427728,438045,448363,458681,468999,470668,472336,474005,475673,477341,484168,490995,497822,504649,511476,516616,522552,529084,536234,544026,552206,560790,569791,577715,590119,601734,613129,624625,636702,649719,663774,678786,694734,711544,729165,747593,766867,787017,808088,830091,853039,876877,901473,926648,952269,978252,1004598,1031358,1058625,1086449,1114879,1143838,1173114,1202412,1231548,1260435,1289192,1318093,1347524,1377777,1408920,1440902,1473741,1507428,1541936,1577298,1613489,1650351,1687673,
GBR,22330596,22540973,22751350,22961727,23172104,23382481,23592858,23803235,24013612,24223989,24434366,24718955,25003543,25288132,25572720,25857309,26141898,26426486,26711075,26995663,27280252,27632295,27984338,28336382,28688425,29040468,29392511,29744554,30096598,30448641,30800684,31133179,31465674,31798168,32130663,32463158,32795653,33128148,33460642,33793137,34125632,34512520,34899408,35286296,35673184,36060072,36446960,36833848,37220736,37607624,37994512,38379902,38765292,39150682,39536072,39921462,40306852,40692242,41077632,41463022,41848412,42061770,42275129,42488487,42701846,42915204,43128562,43341921,43555279,43768638,43981996,44184664,44387332,44590000,44792668,44995336,45198004,45400672,45603340,45806008,46008676,46180498,46352319,46524141,46695962,46867784,47039606,47211427,47383249,47555070,47726892,48015802,48304712,48593622,48882532,49171442,49358841,49546241,49733640,49921039,50108438,50271380,50411327,50574265,50746203,50927135,51165046,51410957,51632875,51936763,52352610,52787446,53272267,53605144,53971010,54329874,54622769,54938650,55193557,55440463,55611401,55785325,55927492,56039166,56122405,56179925,56212943,56224944,56223974,56220089,56221513,56231020,56250124,56283959,56337848,56415196,56519444,56649375,56797704,56953861,57110117,57264600,57419469,57575969,57736667,57903790,58079322,58263858,58456989,58657794,58867004,59080221,59301235,59548421,59846226,60210012,60648850,61151820,61689620,62221164,62716684,63164949,63573766,63955654,64331348,
GEO,1551894,1564826,1577759,1590691,1603624,1616556,1629488,1642421,1655353,1668286,1681218,1695228,1709238,1723249,1737259,1751269,1765279,1779289,1793300,1807310,1821320,1836498,1851675,1866853,1882031,1897208,1912386,1927564,1942742,1957919,1973097,1989540,2005982,2022424,2038867,2055310,2071752,2088194,2104637,2121080,2137522,2155335,2173147,2190960,2208772,2226585,2244398,2262210,2280023,2297835,2315648,2334945,2354243,2373540,2392837,2412134,2431432,2450729,2470026,2489324,2508621,2529526,2550431,2571336,2592241,2613146,2634052,2654957,2675862,2696767,2717672,2740319,2762966,2785613,2808260,2830908,2853555,2876202,2898849,2921496,2944143,3010928,3077714,3144499,3211284,3278070,3344855,3411640,3478425,3545211,3611996,3603497,3594997,3586498,3577998,3569499,3561000,3552500,3544001,3535501,3527002,3590252,3653501,3716751,3780001,3843250,3906500,3969750,4033000,4096249,4159499,4214298,4269098,4323897,4378696,4433496,4488295,4543094,4597893,4652693,4707492,4744043,4780594,4817145,4853696,4890246,4926797,4963348,4999899,5036450,5073001,5111701,5150401,5189101,5227801,5266500,5305262,5344024,5382786,5421547,5460309,5418449,5345624,5252850,5156079,5067143,4989723,4921287,4859954,4801695,4743591,4685769,4629853,4575993,4524444,4475273,4429186,4385885,4343290,4298591,4250132,4196401,4138920,4082727,4034774,
GHA,2678110,2683575,2689041,2694506,2699972,2705437,2710902,2716368,2721833,2727299,2732764,2738975,2745186,2751398,2757609,2763820,2770031,2776242,2782454,2788665,2794876,2802042,2809208,2816375,2823541,2830707,2837873,2845039,2852206,2859372,2866538,2874969,2883400,2891831,2900262,2908694,2917125,2925556,2933987,2942418,2950849,2961024,2971200,2981376,2991551,3001726,3011902,3022078,3032253,3042428,3052604,3065323,3078041,3090760,3103478,3116197,3128916,3141634,3154353,3167071,3179790,3196526,3213262,3229997,3246733,3263469,3280205,3296941,3313676,3330412,3347148,3371057,3394965,3418874,3442782,3466691,3490600,3514508,3538417,3562325,3586234,3626081,3665927,3705774,3745620,3785467,3825314,3865160,3905007,3944853,3984700,4084318,4183935,4283553,4383171,4482788,4582406,4682024,4781642,4881259,4980877,5168000,5355123,5542246,5729369,5916492,6080894,6251689,6429158,6613600,6806300,6997261,7194595,7398630,7611843,7834656,8065383,8304770,8553309,8812273,8596977,8827273,9083575,9350111,9604280,9831409,10023471,10189889,10354490,10550770,10802025,11117608,11488112,11895130,12311166,12716238,13103975,13480381,13852597,14232493,14628260,15042736,15471527,15907244,16339344,16760991,17169214,17568583,17969006,18384426,18824994,19293804,19788181,20305396,20840493,21389514,21951891,22528041,23115919,23713164,24317734,24928503,25544565,26164432,26786598,
GIN,1408137,1411011,1413885,1416758,1419632,1422506,1425380,1428254,1431127,1434001,1436875,1440141,1443406,1446672,1449937,1453203,1456469,1459734,1463000,1466265,1469531,1473299,1477068,1480836,1484604,1488372,1492141,1495909,1499677,1503446,1507214,1511647,1516080,1520512,1524945,1529378,1533811,1538244,1542676,1547109,1551542,1556892,1562242,1567592,1572942,1578292,1583643,1588993,1594343,1599693,1605043,1611731,1618419,1625106,1631794,1638482,1645170,1651858,1658545,1665233,1671921,1680720,1689520,1698319,1707119,1715918,1724717,1733517,1742316,1751116,1759915,1772486,1785056,1797627,1810198,1822768,1835339,1847910,1860481,1873051,1885622,1906574,1927525,1948477,1969428,1990380,2011332,2032283,2053235,2074186,2095138,2147516,2199895,2252273,2304651,2357030,2409408,2461786,2514164,2566543,2618921,2669296,2719670,2770045,2820420,2944551,3068682,3192814,3316945,3441076,3501248,3563851,3628575,3695138,3763626,3834026,3906344,3980567,4056762,4135031,4215442,4259102,4293208,4319502,4340748,4359735,4376768,4393551,4416074,4451872,4506559,4584305,4684992,4804740,4937230,5078689,5223553,5375058,5548270,5763843,6034082,6367110,6751394,7155564,7536389,7863033,8124799,8331366,8497582,8647336,8799165,8955756,9114287,9281572,9464771,9669023,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726,12275527,
GMB,7179,7538,7897,8256,8615,8974,9333,9692,10051,10410,10769,11307,11846,12384,12923,13461,14000,14538,15076,15615,16153,16961,17769,18576,19384,20192,20999,21807,22615,23422,24230,25441,26653,27864,29076,30287,31499,32710,33922,35133,36345,38162,39979,41797,43614,45431,47248,49066,50883,52700,54517,57243,59969,62695,65421,68147,70873,73599,76324,79050,81776,84502,87228,89954,92680,95406,98131,100857,103583,106309,109035,112669,116304,119938,123573,127207,130842,134476,138111,141745,145380,150226,155072,159918,164764,169610,174456,179302,184148,188994,193840,200301,206762,213224,219685,226146,232608,239069,245530,251992,258453,264393,270334,276274,282214,288154,295496,302838,310180,317522,324864,334759,345233,356327,368090,380240,392793,405759,419154,432990,447283,460193,474538,489860,505512,521070,536409,551823,567828,585155,604371,625413,648202,673230,701097,732092,766598,804134,843060,881146,916811,949490,979701,1008296,1036627,1065746,1095839,1126786,1159001,1192920,1228863,1267103,1307674,1350345,1394727,1440542,1487731,1536424,1586749,1638899,1693002,1749099,1807108,1866878,1928201,
GNB,147740,148324,148908,149491,150075,150658,151242,151826,152409,152993,153576,154253,154930,155607,156284,156961,157638,158315,158992,159669,160346,161146,161946,162745,163545,164345,165144,165944,166743,167543,168343,169309,170275,171242,172208,173174,174141,175107,176073,177040,178006,179210,180413,181617,182820,184024,185228,186431,187635,188838,190042,191605,193168,194731,196294,197858,199421,200984,202547,204110,205673,207832,209991,212150,214309,216468,218627,220786,222945,225104,227263,230559,233855,237152,240448,243744,247040,250336,253633,256929,260225,266329,272433,278537,284641,290745,296849,302953,309057,315161,321265,340956,360646,380337,400027,419718,439408,459099,478789,498480,518170,525756,533342,540929,548515,556101,586480,616859,647238,677617,707996,714182,720783,727808,700650,693183,686675,690321,701656,706925,711828,724863,738117,751512,764974,778482,791959,805481,819371,834068,849886,866947,885166,904391,924378,944941,966039,987718,1009967,1032797,1056208,1080191,1104708,1129706,1155111,1180877,1207006,1233520,1260424,1287727,1315455,1343646,1372367,1401716,1431816,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138,1800513,
GNQ,140557,140795,141034,141272,141510,141748,141987,142225,142463,142701,142940,143231,143523,143815,144106,144398,144690,144981,145273,145565,145856,146231,146605,146979,147353,147727,148101,148475,148849,149223,149597,150112,150628,151144,151660,152176,152692,153207,153723,154239,154755,155570,156384,157198,158013,158828,159642,160456,161271,162086,162900,164710,166520,168330,170140,171950,173760,175570,177380,179190,181000,182056,183113,184169,185226,186282,187339,188395,189452,190508,191564,192621,193677,194734,195790,196847,197903,198960,200016,201073,202129,203185,204242,205298,206355,207411,208468,209524,210580,211637,212693,213750,214806,215863,216919,217976,219032,220089,221145,222202,223258,225935,228613,231290,233967,236644,241781,246917,252053,257190,262326,266802,268084,269374,270669,271971,275753,279534,283313,287100,290905,284915,274906,262399,249587,238240,228491,220352,215284,215014,220605,232934,251301,273199,295090,314407,330247,343290,354488,365451,377363,390381,404081,418409,433197,448332,463844,479836,496330,513347,530896,549007,567664,586772,606201,625866,645718,665798,686223,707155,728710,750918,773729,797082,820885,
GRC,3043998,3073198,3102398,3131598,3160798,3189998,3219198,3248398,3277598,3306798,3335998,3368098,3400198,3432298,3464398,3496498,3528599,3560699,3592799,3624899,3656999,3696199,3735400,3774600,3813800,3853000,3892201,3931401,3970601,4009802,4049002,4092302,4135601,4178901,4222200,4265500,4308800,4352099,4395399,4438698,4481998,4529999,4577999,4626000,4674000,4722001,4770002,4818002,4866003,4914003,4962004,4997804,5033604,5069404,5105204,5141004,5176804,5212604,5248404,5284204,5320004,5358004,5396004,5434004,5472004,5510004,5548004,5586004,5624004,5662004,5700004,5765104,5830204,5895304,5960404,6025504,6090604,6155704,6220804,6285904,6351004,6443904,6536804,6629704,6722604,6815504,6908405,7001305,7094205,7187105,7280005,7308605,7337204,7365804,7394404,7423004,7451603,7488105,7524608,7561110,7597612,7634114,7720823,7804533,7880728,7952738,8018107,8083208,8159995,8244891,8314023,8384555,8434657,8465998,8496753,8536593,8599809,8702434,8726719,8758667,8778676,8819206,8856097,8897126,8952862,9030080,9132531,9255749,9388188,9513594,9620274,9704947,9771250,9822999,9866725,9907831,9945576,9979755,10017036,10065859,10131737,10217782,10321044,10433351,10542970,10641169,10725634,10798190,10859311,10910741,10954032,10987715,11011490,11029587,11047739,11069662,11098212,11131302,11161755,11179425,11177509,11153047,11109662,11055164,11000777,
GRD,58428,58623,58817,59012,59207,59402,59596,59791,59986,60181,60375,60584,60792,61000,61208,61416,61625,61833,62041,62249,62457,62673,62888,63103,63319,63534,63750,63965,64180,64396,64611,64834,65057,65279,65502,65725,65948,66171,66393,66616,66839,67070,67300,67530,67761,67991,68222,68452,68683,68913,69144,69382,69621,69859,70098,70336,70574,70813,71051,71290,71528,71542,71557,71571,71585,71600,71614,71628,71643,71657,71671,71686,71700,71715,71729,71743,71758,71772,71786,71801,71815,71829,71844,71858,71873,71887,71901,71916,71930,71945,71959,71453,70947,70440,69934,69428,68922,68415,67909,67403,66897,68046,69194,70343,71492,72641,73789,74938,76087,77236,78384,78782,79179,79576,79973,80370,83182,85994,88806,91618,94430,94180,93937,93629,93151,92453,91435,90187,89070,88571,89004,90575,93091,95981,98440,99907,100146,99381,98063,96871,96286,96455,97201,98302,99403,100253,100796,101125,101302,101441,101620,101849,102100,102371,102657,102951,103259,103587,103934,104298,104677,105070,105476,105902,106349,
